epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2876,1.45703,1.55903,1.59886,0.81047,0.68122,0.773,0.50477,1.1701,1.76362,1.37754,0.00332415,0.00332415,0.00332415
2,195.081,1.42629,1.34732,1.5559,0.72775,0.63876,0.68348,0.39261,1.38366,4.51448,1.60964,0.00661354,0.00661354,0.00661354
3,288.778,1.5671,1.61601,1.68856,0.607,0.49566,0.52083,0.26401,1.60485,7.19907,1.89915,0.00985894,0.00985894,0.00985894
4,381.269,1.71209,1.85152,1.82526,0.43528,0.38165,0.33613,0.13516,1.99701,6.98527,2.25259,0.009802,0.009802,0.009802
5,473.776,1.67425,1.80549,1.78314,0.61313,0.50585,0.528,0.26138,1.68105,6.86762,1.90736,0.009736,0.009736,0.009736
6,567.193,1.60991,1.72354,1.73898,0.70546,0.54662,0.62402,0.33202,1.5527,1.53802,1.76841,0.00967,0.00967,0.00967
7,660.426,1.59505,1.66923,1.72013,0.73524,0.57909,0.66052,0.36449,1.47926,1.64936,1.70037,0.009604,0.009604,0.009604
8,753.664,1.54954,1.57834,1.67916,0.69255,0.54624,0.60936,0.32625,1.55204,1.64704,1.7352,0.009538,0.009538,0.009538
9,848.48,1.52331,1.54317,1.66045,0.72427,0.55417,0.62643,0.36002,1.45555,1.59096,1.68478,0.009472,0.009472,0.009472
10,941.315,1.48661,1.48711,1.63035,0.70431,0.59079,0.66255,0.38385,1.41514,1.56198,1.64229,0.009406,0.009406,0.009406
11,1036.52,1.46681,1.43842,1.62159,0.75155,0.61094,0.68335,0.39786,1.38945,1.58549,1.63567,0.00934,0.00934,0.00934
12,1130.47,1.44518,1.41859,1.60427,0.7994,0.62552,0.71891,0.42674,1.3636,1.28117,1.58584,0.009274,0.009274,0.009274
13,1223.71,1.4132,1.38201,1.58314,0.78482,0.64025,0.72872,0.43542,1.35572,1.43969,1.57129,0.009208,0.009208,0.009208
14,1316.23,1.39831,1.34115,1.56529,0.78099,0.63269,0.72025,0.4452,1.29075,1.14332,1.53491,0.009142,0.009142,0.009142
15,1408.85,1.3825,1.32689,1.54627,0.74917,0.64817,0.71918,0.42773,1.32366,1.4447,1.55585,0.009076,0.009076,0.009076
